Date Cases Recoveries
03202020 1 0
03212020 2 0
03222020 2 0
03232020 4 0
03242020 7 0
03252020 11 0
03262020 16 0
03272020 21 3
03282020 33 3
03292020 42 4
03302020 49 7
03312020 59 9
04012020 64 11
04022020 78 15
04032020 86 18
04042020 101 25
04052020 108 26
04062020 124 34
04072020 134 46
04082020 147 52
04092020 161 63
04102020 179 66
04112020 189 72
04122020 196 74
04132020 211 84
04142020 218 87
04152020 219 91
04162020 231 98
04172020 238 111
04182020 242 128
04192020 250 128
04202020 283 132
04212020 295 143
04222020 316 144
04232020 323 163
04242020 333 168
04252020 336 169
04262020 339 170
04272020 354 174
04282020 366 184
04292020 402 197
04302020 408 201
05012020 418 207
